OBJECTID *,SX,SY,NAZ_OBEC
1,-545557.406099,-1121431.41266,Olomouc
2,-559151.399569,-1109830.50833,Litovel
3,-540692.120996,-1103656.46841,Šternberk
4,-555522.052668,-1101446.09843,Uničov
5,-496807.749988,-1088091.8391,Opava
6,-476189.408048,-1094079.61428,Hlučín
7,-535278.468094,-1137215.02789,Přerov
8,-515015.442945,-1128399.99505,Hranice
9,-563571.997541,-1076952.14654,Šumperk
10,-728219.30958,-1078577.75129,Benešov
11,-715215.598049,-1089853.8838,Vlašim
12,-769197.624985,-1052603.09065,Beroun
13,-763837.385874,-1033207.11246,Kladno
14,-764272.949799,-1023345.23879,Slaný
15,-688128.099924,-1056891.20231,Kolín
16,-683765.149278,-1066528.58247,Kutná Hora
17,-676104.772536,-1070863.69262,Čáslav
18,-733954.86739,-1012639.55827,Mělník
19,-749308.412368,-1025278.54051,Kralupy nad Vltavou
20,-734791.92157,-1025106.13658,Neratovice
21,-703961.131488,-1011547.09981,Mladá Boleslav
22,-541725.902369,-1052781.75822,Jeseník
23,-697603.555567,-1038164.84489,Nymburk
24,-712470.527482,-1034638.35431,Lysá nad Labem
25,-708230.694082,-1031239.86448,Milovice
26,-692711.705896,-1043584.35262,Poděbrady
27,-724532.190474,-1033961.30402,Brandýs nad Labem-Stará Boleslav
28,-717626.558386,-1038429.97764,Čelákovice
29,-727550.735785,-1056265.93769,Říčany
30,-779366.587985,-1084087.86695,Příbram
31,-570981.378037,-1097638.88062,Mohelnice
32,-572529.416239,-1086457.8777,Zábřeh
33,-494832.301813,-1153752.854,Vsetín
34,-791856.785622,-1034140.47043,Rakovník
35,-755321.419461,-1165562.05224,České Budějovice
36,-483316.65986,-1141405.57348,Rožnov pod Radhoštěm
37,-496285.298946,-1140647.90053,Valašské Meziříčí
38,-769983.33801,-1182359.38659,Český Krumlov
39,-715665.258594,-1151279.35057,Jindřichův Hradec
40,-694813.454694,-1124180.80056,Pelhřimov
41,-685194.738991,-1112903.34761,Humpolec
42,-772853.30357,-1128306.95017,Písek
43,-790263.191573,-1158116.08898,Prachatice
44,-792112.803402,-1128963.52072,Strakonice
45,-734057.498921,-1119372.93938,Tábor
46,-860207.13826,-1098756.80167,Domažlice
47,-887619.494825,-1022985.86045,Cheb
48,-895580.950059,-1004907.72901,Aš
49,-866610.941101,-1036082.71918,Mariánské Lázně
50,-739951.993507,-1045726.52822,Praha
51,-822858.665096,-1070449.18426,Plzeň
52,-760899.195489,-976367.052703,Ústí nad Labem
53,-473416.261574,-1103718.64074,Ostrava
54,-850775.470439,-1011714.57425,Karlovy Vary
55,-459851.765957,-1108041.88315,Havířov
56,-648284.443942,-1061580.35355,Pardubice
57,-842536.237654,-1002126.59576,Ostrov
58,-833388.966792,-1107202.98258,Klatovy
59,-820289.643295,-1129398.42081,Sušice
60,-808253.631997,-1073419.66149,Rokycany
61,-864728.658779,-1016027.98999,Sokolov
62,-859131.954446,-1007378.1589,Chodov
63,-874062.854926,-1055944.84677,Tachov
64,-724003.360951,-978870.352051,Česká Lípa
65,-723073.350103,-971325.64122,Nový Bor
66,-748571.157111,-963782.710711,Děčín
67,-720751.332716,-948795.871176,Rumburk
68,-718218.701944,-954124.811617,Varnsdorf
69,-808269.818841,-991091.321605,Chomutov
70,-805826.722792,-986856.748561,Jirkov
71,-818298.577458,-998784.13824,Kadaň
72,-824593.805221,-996547.348119,Klášterec nad Ohří
73,-680999.040111,-979283.323211,Jablonec nad Nisou
74,-688412.034859,-974270.77477,Liberec
75,-756402.442453,-990421.015562,Litoměřice
76,-750110.072995,-1004530.82841,Roudnice nad Labem
77,-782394.719928,-1006875.25142,Louny
78,-801485.660463,-1008614.241,Žatec
79,-792955.583786,-987886.098804,Most
80,-793340.82837,-979601.277285,Litvínov
81,-775973.138054,-976131.604194,Teplice
82,-782388.309247,-984689.925827,Bílina
83,-772034.938819,-969929.573782,Krupka
84,-667214.558744,-1107726.87164,Havlíčkův Brod
85,-658344.512543,-1097106.81532,Chotěboř
86,-640266.654099,-1042626.87364,Hradec Králové
87,-646748.088896,-1070452.06228,Chrudim
88,-642220.17566,-1093171.1468,Hlinsko
89,-670182.51673,-1014019.65926,Jičín
90,-613946.178748,-1022734.53633,Náchod
91,-633002.226332,-1028048.06559,Jaroměř
92,-617171.080149,-1029317.753,Nové Město nad Metují
93,-661862.076653,-1059682.82697,Přelouč
94,-609604.780374,-1050839.80436,Rychnov nad Kněžnou
95,-683482.204259,-994576.946486,Turnov
96,-601073.959913,-1096866.24012,Svitavy
97,-610772.244403,-1084250.04738,Litomyšl
98,-590542.78313,-1099575.09923,Moravská Třebová
99,-629849.325653,-1003100.17372,Trutnov
100,-639435.905241,-1017559.90764,Dvůr Králové nad Labem
101,-651559.838624,-993036.92527,Vrchlabí
102,-601600.831473,-1073973.86909,Ústí nad Orlicí
103,-600649.55645,-1080558.78448,Česká Třebová
104,-589570.895706,-1080905.66391,Lanškroun
105,-622196.49397,-1074320.77829,Vysoké Mýto
106,-592625.001912,-1142561.43034,Blansko
107,-590146.682635,-1127927.66289,Boskovice
108,-599411.949672,-1159315.15602,Brno
109,-617332.299318,-1170223.39435,Ivančice
110,-601927.059552,-1148773.44892,Kuřim
111,-583869.224387,-1211971.04104,Břeclav
112,-520820.233367,-1164917.94682,Zlín
113,-530640.738414,-1165959.58825,Otrokovice
114,-565090.427684,-1200356.65535,Hodonín
115,-562775.944416,-1182002.844,Kyjov
116,-544518.131614,-1193665.69453,Veselí nad Moravou
117,-669608.789499,-1128943.08337,Jihlava
118,-539756.035646,-1156354.90051,Kroměříž
119,-526156.59702,-1152241.06562,Holešov
120,-558469.606375,-1134781.18864,Prostějov
121,-651022.762171,-1151437.45551,Třebíč
122,-535496.307305,-1182088.00929,Uherské Hradiště
123,-523781.733541,-1186942.77507,Uherský Brod
124,-571271.738547,-1152190.49515,Vyškov
125,-643169.786661,-1194373.38217,Znojmo
126,-641482.892069,-1114236.16475,Žďár nad Sázavou
127,-632063.597397,-1114834.56526,Nové Město na Moravě
128,-639515.068797,-1136587.83003,Velké Meziříčí
129,-527134.111285,-1080481.77694,Bruntál
130,-511103.176367,-1069478.73929,Krnov
131,-467563.720695,-1120062.45767,Frýdek-Místek
132,-466694.237691,-1129742.02728,Frýdlant nad Ostravicí
133,-446262.485078,-1124033.34455,Třinec
134,-452671.274327,-1102414.01538,Karviná
135,-450065.628141,-1114366.37698,Český Těšín
136,-464938.646891,-1094305.15214,Bohumín
137,-459964.047956,-1100595.53661,Orlová
138,-492495.924813,-1128455.30654,Nový Jičín
139,-478383.820044,-1134231.24065,Frenštát pod Radhoštěm
140,-481128.02692,-1126685.88358,Kopřivnice
141,-487372.719267,-1113546.07374,Studénka
